,Description
1743,@rajonrondo makes it easy for @ivicazubac! (??: @nbaontnt)
1744,
1745,@rudygay buries the #TissotBuzzerBeater for the @spurs win! #ThisIsYourTime
1746,@jah8 takes flight for the @pelicansnba in Houston! (??: @nbaontnt)
1747,@russwest44 collects his 17th triple-double of the season for the @okcthunder with 23/14/14! #TripleDoubleAlert
1748,@giannis_an34 with the STRIP & SLAM for the @bucks!
1749,@ygtrece puts up 31 in the first half for the @okcthunder in Orlando!
1750,Presenting the U.S. and World Team Rosters for the #MTNDEWICERisingStars at #NBAAllStar 2019!!
1751,"Ahead of tonight’s @sixers action in LA (10:30pm/et @nbaontnt), we showcase @joelembiid’s fancy footwork!"
1752,The #MtnDewIceRisingStars rosters for #NBAAllStar 2019 will be revealed 8pm/et TONIGHT @nbaontnt! (repost @nbaallstar)
1753,Join us in wishing @marcgasol of the @memgrizz a HAPPY 34th BIRTHDAY! #NBABDAY
1754,The @warriors @hornets @celtics @nuggets & @atlhawks each WIN on Monday!
1755,@louwillville sets up @trezz24! (??: @nbatv)
1756,11 straight Ws for the @warriors! #DubNation
1757,@youngamechanger finds @gmb_chum12!
1758,How @thats_g_!
1759,What a pass by @_kw15 to @ahmad_monk!
1760,@traeyoung from the bench... ahead of tonight’s @atlhawks action in LA (10:30pm/et @nbatv)!
1761,@stephencurry30 beats the buzzer from deep! (??: @nbatv)
1762,A message from @vicoladipo. #Together4Vic
1763,"?? VINCE CARTER MIC’D UP for the @atlhawks! ??
...
??: HAWKS/CLIPPERS
?: 10:30pm/et
??: @nbatv"
1764,@kyrieirving or @ruuufio.. who had your fave assist of the week?? #StateFarmAssists
1765,?? the NBA stat leaders ahead of Week 16’s action!
1766,Join us in wishing @andre of the @warriors a HAPPY 35th BIRTHDAY! #NBABDAY
1767,"Prospects from the @nbaacademy in Africa, China and India were surprised with a meet and greet with @DwyaneWade following tonight’s @miamiheat game. A great end to a productive week of on-court training and off-court activities in NYC! #NBAAcademy"
1768,Swipe through to recap Sunday’s 9 games!
1769,@lukadoncic becomes the first teenager in @nbahistory to record a 30-pt triple-double with 35/12/10!
1770,@dbook tosses it in for the @suns!
1771,"@jharden13 puts up 40 points, 11 boards and 6 assists in the @houstonrockets W!"
1772,@lukadoncic notches his second career triple-double for the @dallasmavs with 35p/12r/10a! #TripleDoubleAlert
1773,@jharden13 steps back for the clutch jumper in the @houstonrockets W!
1774,@russwest44 notches his 16th triple-double of the season for the @okcthunder with 13/13/11! #TripleDoubleAlert
1775,@dwyanewade spins for the bucket at MSG! #OneLastDance
1776,@jharden13 thread the needle to @kennethfaried35 for the SLAM!
1777,@dwyanewade already putting on a show in the Garden! (repost @miamiheat)
1778,@stevenadams runs the break for the @okcthunder on ESPN!
1779,@desmith4 cuts backdoor for the lob from @lukadoncic!
1780,@ygtrece puts up 21 for the @okcthunder in the first half on ESPN!
1781,@louwillville ?? @trezz24 ??
1782,Get your @nbaallstar gear NOW from @nbastore! (TAP to SHOP)
1783,The @warriors @nuggets @trailblazers @spurs and @memgrizz each WIN on Saturday!
1784,@3jmccollum notches his first career triple-double with 28/10/10 for the @trailblazers! #TripleDoubleAlert
1785,Nikola Jokic secures his 7th triple-double of the season for the @nuggets with 32p/18r/10a! #TripleDoubleAlert
1786,@easymoneysniper (33p/9r) and @kyrieirving (32p/10a) duel in Boston!
1787,@warriors/@celtics goes down the wire!
1788,10 straight Ws for the @warriors!
1789,Kyrie being Kyrie! #NBAonABC
1790,@turner_myles won’t be denied!
1791,???? #HoopsForTroops ????
1792,@kyrieirving (19p) and @stephencurry30 (17p) go back & forth in the first half! #NBAonABC
1793,@thats_g_ in transition for the @nuggets!
1794,@kyrieirving slips it to @alhorford for the @celtics! #NBAonABC
1795,@boogiecousins leads the break & finds @easymoneysniper! #NBAonABC
1796,???? @warriors 9-game win streak vs. @celtics 5-game win streak... NOW on #NBAonABC!
1797,"@stephencurry30 3 straight from the LOGO + uses the arc on the pull-up. #DubNation (??: 8:30pm/et, #NBAonABC)"
1798,@kyrieirving pregame warmup off the bounce ahead @warriors/@celtics on #NBAonABC (8:30pm/et). #CUsRise
1799,Tonight’s #NBAonABC Saturday Primetime action features @stephencurry30 & the @warriors visiting @kyrieirving & the @celtics!
1800,Join us in wishing VINCE CARTER of the @atlhawks a HAPPY 42nd BIRTHDAY! #NBABDAY
1801,Swipe through to recap Friday’s 10 games!
1802,@giannis_an34 spins for the SLAM!
1803,@lukadoncic steps back for 30!
1804,@louwillville notches his first career triple-double with 31p/10r/10a off the @laclippers bench! #TripleDoubleAlert
1805,@deandre runs the floor!!
1806,@dwyanewade flushes it home for the @miamiheat in Cleveland! #OneLastDance
1807,The @orlandomagic turn defense into offense... highlighted by the @3tross1 SLAM!
1808,@officialeg10 takes flight for the @houstonrockets! (??: ESPN)
1809,"Watch your head, @youngheirgordon!"
1810,@unclejeffgreen with the ?? for the @washwizards in Orlando!
1811,James Harden & Kawhi Leonard hit the floor for tonight’s ESPN action (8:00pm/et) in Houston!
1812,"?? 52.2 PPG in last 5 games ??
...
??: RAPTORS/ROCKETS
?: 8:00pm/et
??: ESPN"
1813,?? The Eastern Conference #NBAAllStar Starters Pool in action! ??
1814,?? The Western Conference #NBAAllStar Starters Pool in action! ??
1815,?? the stat leaders among #NBARooks ahead of tonight’s action!
1816,"The @warriors, @okcthunder, @trailblazers & @timberwolves each WIN Thursday night!"
1817,@karltowns to the rack!! (??: @nbaontnt)
1818,@stephencurry30 uses his handles to create space! (??: @nbaontnt)
1819,@stephencurry30 finishes off the contact! (??: @nbaontnt)
1820,"With 10:47 to play in the 3rd, @russwest44 notched his 15th triple-double of the season for the @okcthunder with 16p/11a/10r! #TripleDoubleAlert"
1821,@stephencurry30 puts up 21 for the @warriors in the first half @nbaontnt!
1822,@dulenader2 takes it baseline for the STRONG SLAM!
1823,Assist of the night! #ThisIsWhyWePlay
1824,?? The Eastern Conference #NBAAllStar Starters Pool! ?? (repost @nbaallstar)
1825,?? The Western Conference #NBAAllStar Starters Pool! ?? (repost @nbaallstar)
1826,"The 2019 #NBAAllStar Team Captains!
...
???? #NBAAllStar Draft Show: 7pm/et February 7 @nbaontnt! (repost @nbaallstar)"
1827,The Eastern Conference #NBAAllStar Starters Pool!
1828,The Western Conference #NBAAllStar Starters Pool!
1829,"Derrick Rose goes UP & UNDER! ...
??: TIMBERWOLVES/LAKERS
?: 10:30pm/et
??: @nbaontnt"
1830,"@bradbeal3 off the dribble! ...
??: WARRIORS/WIZARDS
?: 8:00pm/et
??: @nbaontnt"
1831,?? Tonight! ?? (repost @nbaallstar)
1832,"20 teams in action, 10 winners Wednesday night!"
1833,@ruuufio with the no-look to @rudygobert27! (??: ESPN)
1834,@marcgasol notches his first triple-double of the season for the @memgrizz with 22p/17r/10a! #TripleDoubleAlert
1835,@bensimmons notches his 8th triple-double of the season for the @sixers with 21p/15a/10r! #TripleDoubleAlert
1836,@jharden13 puts the ???? on his 61-point night at MSG!
1837,????
1838,@jharden13’s up to 49 through 3 quarters at MSG!
1839,@jrich_0 with the LEFT!
1840,@jusanderson1 takes it STRONG baseline for the SLAM!
1841,@bensimmons dumps it off to @joelembiid for the @sixers SLAM! (??: ESPN)
1842,"Ahead of tonight’s @sixers action, we showcase @bensimmons’ best no-look assists! ...
??: SPURS/SIXERS
?: 8:00pm/et
??: ESPN"
1843,"The @okcthunder, @raptors, @dallasmavs & @timberwolves each WIN Tuesday night!"
1844,@russwest44 notches his 14th triple-double of the season for the @okcthunder with 29p/14a/10r! #TripleDoubleAlert
1845,“I got hops!” - @russwest44
1846,@lukadoncic gets into the lane with the left!
1847,@russwest44 in transition for the @okcthunder! (??: @nbatv)
1848,@russwest44 operates off the dribble! (??: @nbatv)
1849,@ygtrece gets back for the @okcthunder block! (??: @nbatv)
1850,@russwest44 with a pair of flashy dimes for the @okcthunder! (??: @nbatv)
1851,"@ygtrece for the @okcthunder win! #NBABreakdown
...
??: BLAZERS/THUNDER
?: 8:00pm/et
??: @nbatv"
1852,"LEVITATE with the @okcthunder!
...
??: “Levitate” by @musicbybalance|@unitedmasters ...
??:@trailblazers/@okcthunder
?:8pm/et ??: @nbatv"
1853,#MLKDay around the Association! #ThisIsWhyWePlay
1854,Swipe through to recap an 11-game #MLKDay around the Association!
1855,@klaythompson makes his first 10 three-point attempts for 44 points through 3 quarters! (??: @nbaontnt)
1856,@boogiecousins’ hustle sets up the @klaythompson triple! (??: @nbaontnt)
1857,JJ Redick with the flashy dribble into the shot! (??: @nbaontnt)
1858,@easymoneysniper gets loose for tonight’s @warriors action in LA (10:30pm/et @nbaontnt)!
1859,@joelembiid hustles back for the SWAT! (??: @nbaontnt)
1860,@kennethfaried35 with the ?? in his @houstonrockets debut! (??: @nbaontnt)
1861,"???? OK, we see you!"
1862,@kyrieirving dimes it to @youngamechanger for the @celtics triple!
1863,@jharden13 (Western Conf. Player of the Week) hits the floor seeking his 20th straight game of 30+ PTS! (8:00pm/et @NBAonTNT) ?
1864,@lukadoncic notches his first career triple-double for the @dallasmavs with 18p/11r/10a! #TripleDoubleAlert
1865,@giannis_an34 to the rack for the @bucks!
1866,"With this assist to @deandre, @lukadoncic joins @markellefultz as the only teenagers to notch a triple-double!"
1867,"@jrue_holiday11 is averaging a career-highs in points (20.8), assists (8.2), rebounds (4.6) & steals (1.7) for the @pelicansnba! ...
??: PELICANS/GRIZZLIES
?: 5:30pm/et
??: @nbaontnt"
1868,@therealmobamba arrives stylin’ for today’s action! #NBAGameChangers
1869,@krisdunn3 ?? @zachlavine8 ??
1870,@giannis_an34 x @kostas__ante13! #ThisIsWhyWePlay
1871,"Showcasing @traeyoung’s best assists for the @atlhawks!
...
??: MAGIC/HAWKS
?: 3:00pm/et
??: @nbatv"
1872,"?? @ygtrece mic’d up! ??
...
??: THUNDER/KNICKS
?: 12:30pm/et
??: @nbatv"
1873,"The wise words of Dr. Martin Luther King, Jr. #MLKDay"
1874,We’ve got a full day of NBA hoops on ??! #MLKDay
1875,It’s the final day of @nbaallstar voting and your vote counts twice!
1876,?? the NBA stat leaders ahead of Week 15’s action!
1877,Derrick Rose puts up 29 of his 31 in the second half to lead the @timberwolves!
1878,"The @pacers, @laclippers & @timberwolves each WIN on Sunday!"
1879,Derrick Rose for the @timberwolves win!!
1880,@turner_myles with the denial for the @pacers!
1881,"In honor of Dr. Martin Luther King, Jr.'s legacy, NBA legends Bernard King, @dominiquewilkins21, @dofficialmutombo, and Vince Carter are on hand to witness the raising of banners reflecting shared values of unity and progress. The NBA celebrates #MLKDay Monday January 21st. #ThisIsWhyWePlay"
1882,?? all the angles of @buddylove242’s #TissotBuzzerBeater for the @sacramentokings win! #ThisIsYourTime
1883,Swipe through to recap Saturday’s NBA action!
1884,Nikola Jokic notches his sixth triple-double of the season for the @nuggets with 19p/12a/11r!
1885,"@dwyanewade put up 14 points, 10 rebounds & 7 assists for the @miamiheat in his final game in Chicago! #OneLastDance"
1886,"@jharden13 passes Elgin Baylor with his 19th consecutive 30-point game... only Wilt Chamberlain (four separate streaks, with the longest being 65 games) has more!"
1887,@jharden13 puts up 48 to lead the @houstonrockets 21-point comeback!
1888,@jharden13 (48p/8r/6a/4s) walks off with 21-point @houstonrockets comeback W in OT!
1889,@officialeg10 sends us to OT with the 3! #NBAonABC
1890,@jharden13 stops on a dime for the triple! #NBAonABC
1891,@jharden13 throws down his 30th point of the night! #NBAonABC
1892,Chicago shows love for @dwyanewade! #OneLastDance
1893,@kyrieirving keeps the dribble alive and floats it in with the left!
1894,@buddylove242 throws up the #TissotBuzzerBeater for the @sacramentokings win in Detroit! #ThisIsYourTime
1895,@kuz puts up 20 in the first for the @lakers! #NBAonABC
1896,That #NBAonABC Saturday Primetime Mood!
1897,Nik Vucevic elevates for the @orlandomagic!
1898,"Will @jharden13 go for 50?
...
??: LAKERS/ROCKETS
?: 8:30pm/et
??: #NBAonABC"
1899,What a finish in Philadelphia as @ygtrece wins it for the @okcthunder! #NBAonABC
1900,@_kw15 creates space with the dribble!
1901,?? @stevenadams down the lane! ?? #NBAonABC
1902,@joelembiid off the dribble! #NBAonABC
1903,"""We have run out of adjectives to describe this historic run!""
...
??: LAKERS/ROCKETS
?: 8:30pm/et
??: #NBAonABC"
1904,"26.1 PPG, 13 APG & 9.6 RPG over his last 7. @russwest44 hits the floor early for today’s #NBAonABC Saturday Primetime action from Philadelphia (3:30pm/et)."
1905,"Ruthless, Restless, Russ... What Will He Do Next?
...
??: THUNDER/SIXERS
?: 3:30pm/et
??: #NBAonABC"
1906,?? the NBA Standings ahead of today’s action!
1907,Our #NBAonABC Saturday Primetime Action tips off at 3:30pm/et!!
1908,Swipe through to recap Friday’s seven games!
1909,@boogiecousins puts up 14 points & 6 boards in his @warriors debut!!
1910,@stephencurry30 goes the distance! (??: ESPN)
1911,@boogiecousins gets on the board for the @warriors with a BANG! (??: ESPN)
1912,?????? @dloading puts up 40p (8 3FG) & 7 assists to lead the @brooklynnets in Orlando!
1913,@kyrieirving puts up 38p/11a/7r to lead the @celtics at home!
1914,I Have A Dream.... teams are wearing custom Nike #MLKDay warmup shirts designed in collaboration with the MLK Foundation and Martin Luther King III this weekend.
1915,"@karltowns finds @22wiggins out of the double! #NBABreakdown
...
??: SPURS/TWOLVES
?: 8:00pm/et
??: @nbaonespn"
1916,"Get ready for an epic Saturday Night!
#NBAonABC Saturday Primetime action tips off TOMORROW at 3:30pm/et! ...
(??: @panicatthedisco)"
1917,?? all the angles of @pskills43’s #TissotBuzzerBeater for the @raptors win! #ThisIsYourTime
1918,"Earlier tonight, @cp3 hosted his 10th annual Celebrity ?? Invitational!"
1919,"The @washwizards, @sixers, @raptors, @hornets, @nuggets and @lakers are each victorious Thursday!"
1920,@kuz puts up 32 in the @lakers OT win in OKC!
1921,"@stevenadams, too smooth!"
1922,@russwest44 gets it back and punches it home! (??: TNT)
1923,@pskills43 drives and lays in the #TissotBuzzerBeater for the @raptors win! #ThisIsYourTime
1924,The ?? goes behind his back for the @nuggets bucket!
1925,Get UP @paulmillsap4!
1926,@greenranger14 with the spin and dish for the @raptors!
1927,@jimmybutler gets it to fall with the left for the @sixers! (??: TNT)
1928,@_kw15 with the fake in transition!
1929,?? @milesbridges takes off for the @hornets! ??
1930,?? Listen in to @kuz mic’d up ahead of tonight’s @lakers @nbaontnt action (9:30pm/et)!
1931,"@russwest44 arrives in style with a special guest, his son Noah, ahead of tonight’s action against the Lakers (9:30pm/et, TNT)! #ThisIsWhyWePlay"
1932,@vicoladipo prepares for tonight’s @nbaontnt action for the 29-14 @pacers! (7pm/et vs. @sixers)
1933,@23.savage23 with the block on one end and SLAM on the other! #NBALondon
1934,Get familiar with @vicoladipo ahead of tonight’s @pacers action (7:00pm/et @nbaontnt) vs. Philadelphia!
1935,"43p, 15a, 10r from @bradbeal3 last time out... He hits the floor for the @washwizards’ #NBALondon action! (3:00pm/et @nbatv)"
1936,#NBARooks @kknox_23 (career-high 31 PTS last game) & @iso_zo (#NBABDAY today) prepare for their 1st career #NBALondon game! (3:00pm/et @nbatv)
1937,"Last night in Oakland, the @pelicansnba (19) and @warriors (24) combined for the most three-pointers made in a game with 43!"
1938,"57 points on Monday, 58 points on Wednesday... @jharden13 has been on a scoring tear!"
1939,@stephencurry30 puts up 9 threes to lead the @warriors at home!
1940,Swipe through to recap tonight’s eight games!
1941,The @warriors (24) and @pelicansnba (19) combine for NBA record 43 3PM!
1942,The @warriors end the 3rd in a flurry on ESPN!
1943,@bosnianbeast27 notches his first career triple-double with 10/10/10 for the @trailblazers! #TripleDoubleAlert
1944,@sdot1414 goes up & under with the SLAM!
1945,@kyrieirving x @kyle_lowry7 after a thrilling finish in Boston! #ThisIsWhyWePlay
1946,@kyrieirving dishes out a career-high 18 assists in the @celtics W!
1947,??5??0??????
1948,@jharden13 goes off for 22 in the 3rd for the @houstonrockets!
1949,?? @giannis_an34 ??
1950,The Fro denies The Beard
1951,?? @kyrieirving to @gordonhayward (??: ESPN)
1952,@giannis_an34 euros into the SLAM!
1953,@roadtoriches_0 throws it down for the @memgrizz!!
1954,@kyrieirving dimes it to @alhorford! (??: ESPN)
1955,"Bringing the energy for the 33-12 @raptors, @pskills43 ???? gets loose for ESPN action in Boston (8pm/et)"
1956,"@kyle_lowry7 taking charges! ...
??: RAPTORS/CELTICS
?: 8:00pm/et
??: ESPN"
1957,"Joined by the @juniorknicks, the @nyknicks take their team portrait for #NBALondon! #ThisIsWhyWePlay"
1958,We went all-access with the @hornets for practice! ?? our story for more! #HornetsAllAccess
1959,"The @washwizards let a young fan join them, as they take their team portrait for #NBALondon! #ThisIsWhyWePlay"
